Photo ID,Common Name,Scientific Name,Project Name,Animal ID,Animal Group
d19515s40i5,Coyote,Canis latrans,Triangle Camera Trap Survey Project,1,1
d19460s14i3,Puma,Puma concolor,Sumaco Cloud Forest Project,2,2
d19492s3i31,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d17682s66i23,American Black Bear,Ursus americanus,Smithsonian BioAcoustic Monitoring Project,4,13
d17682s46i37,American Black Bear,Ursus americanus,Smithsonian BioAcoustic Monitoring Project,4,13
d17682s46i35,American Black Bear,Ursus americanus,Smithsonian BioAcoustic Monitoring Project,4,13
d16986s21i93,American Black Bear,Ursus americanus,Smithsonian BioAcoustic Monitoring Project,4,13
d16982s30i3,Bobcat,Lynx rufus,Smithsonian BioAcoustic Monitoring Project,5,2
d16907s5i35,American Black Bear,Ursus americanus,Smithsonian BioAcoustic Monitoring Project,4,13
d18502s152i2,Coyote,Canis latrans,Prairie Ridge Project,1,1
d19515s61i19,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19515s22i10,Coyote,Canis latrans,Triangle Camera Trap Survey Project,1,1
d19659s2i4,American Black Bear,Ursus americanus,Smithsonian BioAcoustic Monitoring Project,4,13
d19658s62i5,Grey Fox,Urocyon cinereoargenteus,Smithsonian BioAcoustic Monitoring Project,6,1
d19658s54i25,White-tailed Deer,Odocoileus virginianus,Smithsonian BioAcoustic Monitoring Project,3,10
d19657s117i3,Northern Raccoon,Procyon lotor,Smithsonian BioAcoustic Monitoring Project,7,11
d19655s13i11,White-tailed Deer,Odocoileus virginianus,Smithsonian BioAcoustic Monitoring Project,3,10
d19612s35i1,Eastern Cottontail,Sylvilagus floridanus,Raleigh Backyard Sustainability Survey Project,8,7
d19612s23i1,Northern Raccoon,Procyon lotor,Raleigh Backyard Sustainability Survey Project,7,11
d19611s30i3,Virginia Opossum,Didelphis virginiana,Raleigh Backyard Sustainability Survey Project,9,5
d19610s19i2,Grey Fox,Urocyon cinereoargenteus,Raleigh Backyard Sustainability Survey Project,6,1
d19610s156i1,Domestic Cat,Felis catus,Raleigh Backyard Sustainability Survey Project,10,2
d19519s9i7,Elk_Red Deer,Cervus elaphus,APR Wildlife Survey Project,11,10
d19515s111i9,Wild Turkey,Meleagris gallopavo,Triangle Camera Trap Survey Project,12,9
d19515s108i5,Wild Turkey,Meleagris gallopavo,Triangle Camera Trap Survey Project,12,9
d19515s1i19,Coyote,Canis latrans,Triangle Camera Trap Survey Project,1,1
d19492s3i25,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19492s3i26,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19492s3i27,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19492s3i28,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19492s3i29,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19492s3i30,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
d19492s3i32,White-tailed Deer,Odocoileus virginianus,Triangle Camera Trap Survey Project,3,10
